Place of Residence,Age Group,Gender,Tipo de dificuldade,Não tem nenhuma dificuldade,Tem alguma dificuldade,Tem muita dificuldade,Não consegue efetuar a ação,freguesia_code,municipio,region
Grande Lisboa,35 - 39 anos,M,Compreender os outros ou fazer-se compreender,67088,1564,185,102,1A0,,Grande Lisboa
Grande Lisboa,40 - 44 anos,H,Ver,62218,9556,533,150,1A0,,Grande Lisboa
Grande Lisboa,40 - 44 anos,H,Ouvir,69057,2845,256,155,1A0,,Grande Lisboa
Grande Lisboa,40 - 44 anos,H,Andar ou subir degraus,68995,2855,488,175,1A0,,Grande Lisboa
Grande Lisboa,40 - 44 anos,H,Memória ou concentração,64789,6982,492,179,1A0,,Grande Lisboa
Grande Lisboa,40 - 44 anos,H,Compreender os outros ou fazer-se compreender,70336,1701,297,126,1A0,,Grande Lisboa
Grande Lisboa,40 - 44 anos,M,Ver,63435,16004,987,132,1A0,,Grande Lisboa
Grande Lisboa,40 - 44 anos,M,Ouvir,76723,3193,272,163,1A0,,Grande Lisboa
Grande Lisboa,40 - 44 anos,M,Andar ou subir degraus,74728,5014,673,189,1A0,,Grande Lisboa
Grande Lisboa,40 - 44 anos,M,Memória ou concentração,68220,11388,732,210,1A0,,Grande Lisboa
Grande Lisboa,40 - 44 anos,M,Compreender os outros ou fazer-se compreender,78415,1821,243,131,1A0,,Grande Lisboa
Grande Lisboa,45 - 49 anos,H,Ver,55733,16957,918,151,1A0,,Grande Lisboa
Grande Lisboa,45 - 49 anos,H,Ouvir,68655,4278,398,179,1A0,,Grande Lisboa
Grande Lisboa,45 - 49 anos,H,Andar ou subir degraus,68662,4253,692,210,1A0,,Grande Lisboa
Grande Lisboa,45 - 49 anos,H,Memória ou concentração,64732,8255,598,194,1A0,,Grande Lisboa
Grande Lisboa,45 - 49 anos,H,Compreender os outros ou fazer-se compreender,71501,1884,304,110,1A0,,Grande Lisboa
Grande Lisboa,45 - 49 anos,M,Ver,56290,24795,1729,155,1A0,,Grande Lisboa
Grande Lisboa,45 - 49 anos,M,Ouvir,77556,4501,422,186,1A0,,Grande Lisboa
Grande Lisboa,45 - 49 anos,M,Andar ou subir degraus,74270,7498,1051,198,1A0,,Grande Lisboa
Grande Lisboa,45 - 49 anos,M,Memória ou concentração,68592,13172,929,239,1A0,,Grande Lisboa
Grande Lisboa,45 - 49 anos,M,Compreender os outros ou fazer-se compreender,80555,2095,263,130,1A0,,Grande Lisboa
Grande Lisboa,50 - 54 anos,H,Ver,43955,18806,1203,161,1A0,,Grande Lisboa
Grande Lisboa,50 - 54 anos,H,Ouvir,58077,5150,494,171,1A0,,Grande Lisboa
Grande Lisboa,50 - 54 anos,H,Andar ou subir degraus,57360,5561,972,249,1A0,,Grande Lisboa
