Place of Residence,Age Group,Gender,Tipo de dificuldade,Não tem nenhuma dificuldade,Tem alguma dificuldade,Tem muita dificuldade,Não consegue efetuar a ação,freguesia_code,municipio,region
Amadora,40 - 44 anos,H,Ouvir,5340,253,20,18,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,H,Andar ou subir degraus,5301,262,49,20,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,H,Memória ou concentração,4994,573,44,15,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,H,Compreender os outros ou fazer-se compreender,5439,158,25,10,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,M,Ver,4891,1401,109,11,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,M,Ouvir,6097,269,22,11,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,M,Andar ou subir degraus,5818,501,81,14,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,M,Memória ou concentração,5374,949,63,22,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,M,Compreender os outros ou fazer-se compreender,6193,188,31,9,1115,Amadora,Grande Lisboa
Amadora,45 - 49 anos,H,Ver,4191,1273,85,13,1115,Amadora,Grande Lisboa
Amadora,45 - 49 anos,H,Ouvir,5145,346,36,20,1115,Amadora,Grande Lisboa
Amadora,45 - 49 anos,H,Andar ou subir degraus,5115,361,60,21,1115,Amadora,Grande Lisboa
Amadora,45 - 49 anos,H,Memória ou concentração,4864,630,43,23,1115,Amadora,Grande Lisboa
Amadora,45 - 49 anos,H,Compreender os outros ou fazer-se compreender,5367,159,25,14,1115,Amadora,Grande Lisboa
Amadora,45 - 49 anos,M,Ver,4128,2022,164,21,1115,Amadora,Grande Lisboa
Amadora,45 - 49 anos,M,Ouvir,5850,398,47,18,1115,Amadora,Grande Lisboa
Amadora,45 - 49 anos,M,Andar ou subir degraus,5502,711,113,18,1115,Amadora,Grande Lisboa
Amadora,45 - 49 anos,M,Memória ou concentração,5131,1095,84,24,1115,Amadora,Grande Lisboa
Amadora,45 - 49 anos,M,Compreender os outros ou fazer-se compreender,6105,202,34,7,1115,Amadora,Grande Lisboa
Amadora,50 - 54 anos,H,Ver,3150,1573,122,14,1115,Amadora,Grande Lisboa
Amadora,50 - 54 anos,H,Ouvir,4374,412,44,13,1115,Amadora,Grande Lisboa
Amadora,50 - 54 anos,H,Andar ou subir degraus,4258,492,86,20,1115,Amadora,Grande Lisboa
Amadora,50 - 54 anos,H,Memória ou concentração,4110,681,60,16,1115,Amadora,Grande Lisboa
Amadora,50 - 54 anos,H,Compreender os outros ou fazer-se compreender,4645,173,39,10,1115,Amadora,Grande Lisboa
Amadora,50 - 54 anos,M,Ver,3395,2070,232,9,1115,Amadora,Grande Lisboa
Amadora,50 - 54 anos,M,Ouvir,5187,425,59,16,1115,Amadora,Grande Lisboa
Amadora,50 - 54 anos,M,Andar ou subir degraus,4578,946,173,16,1115,Amadora,Grande Lisboa
Amadora,50 - 54 anos,M,Memória ou concentração,4524,1066,90,25,1115,Amadora,Grande Lisboa
Amadora,50 - 54 anos,M,Compreender os outros ou fazer-se compreender,5474,204,28,8,1115,Amadora,Grande Lisboa
Amadora,55 - 59 anos,H,Ver,2920,1371,129,7,1115,Amadora,Grande Lisboa
Amadora,55 - 59 anos,H,Ouvir,3839,484,67,16,1115,Amadora,Grande Lisboa
Amadora,55 - 59 anos,H,Andar ou subir degraus,3661,628,122,14,1115,Amadora,Grande Lisboa
Amadora,55 - 59 anos,H,Memória ou concentração,3643,707,54,14,1115,Amadora,Grande Lisboa
