
Quadro extraído em 25 de Março de 2025 (11:07:34)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024 - Município);Grupo etário;Sexo;Período de referência dos dados;Nível de escolaridade mais elevado completo;Tipo de dificuldade;Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades por Local de residência à data dos Censos [2021] (NUTS - 2024 - Município), Sexo, Grupo etário, Nível de escolaridade mais elevado completo, Tipo de dificuldade e Grau de dificuldade -  Decenal;;;;
;;;;;;Grau de dificuldade;;;;
;;;;;;Não tem nenhuma dificuldade;Tem alguma dificuldade;Tem muita dificuldade;Não consegue efetuar a ação;
;;;;;;N.º ;N.º ;N.º ;N.º ;
;;;;;Andar ou subir degraus;5855;225;31;9;
;;;;;Memória ou concentração;5295;768;38;9;
;;;;;Compreender os outros ou fazer-se compreender;5928;147;23;10;
;35 - 39 anos;H;2021;Total;Ver;5637;638;40;5;
;;;;;Ouvir;6091;197;11;8;
;;;;;Andar ou subir degraus;6094;197;25;11;
;;;;;Memória ou concentração;5724;554;34;9;
;;;;;Compreender os outros ou fazer-se compreender;6149;139;30;6;
;;M;2021;Total;Ver;5691;1093;74;9;
;;;;;Ouvir;6593;221;24;17;
;;;;;Andar ou subir degraus;6485;339;36;17;
;;;;;Memória ou concentração;5901;895;60;15;
;;;;;Compreender os outros ou fazer-se compreender;6695;153;21;12;
;40 - 44 anos;H;2021;Total;Ver;6005;934;50;20;
;;;;;Ouvir;6706;254;16;18;
;;;;;Andar ou subir degraus;6642;291;47;20;
;;;;;Memória ou concentração;6269;677;42;16;
;;;;;Compreender os outros ou fazer-se compreender;6807;162;27;9;
;;M;2021;Total;Ver;6036;1561;97;13;
;;;;;Ouvir;7337;304;35;16;
;;;;;Andar ou subir degraus;7090;532;72;19;
;;;;;Memória ou concentração;6473;1143;79;24;
;;;;;Compreender os outros ou fazer-se compreender;7518;163;26;11;
;45 - 49 anos;H;2021;Total;Ver;5218;1581;102;9;
;;;;;Ouvir;6457;375;37;13;
;;;;;Andar ou subir degraus;6367;462;64;17;
;;;;;Memória ou concentração;6048;789;56;15;
;;;;;Compreender os outros ou fazer-se compreender;6718;166;29;9;
;;M;2021;Total;Ver;5246;2421;190;11;
;;;;;Ouvir;7306;483;43;15;
;;;;;Andar ou subir degraus;6922;825;112;17;
;;;;;Memória ou concentração;6428;1324;105;18;
;;;;;Compreender os outros ou fazer-se compreender;7646;202;24;10;
;50 - 54 anos;H;2021;Total;Ver;4157;1818;137;14;
;;;;;Ouvir;5539;510;45;11;
;;;;;Andar ou subir degraus;5433;587;90;22;
;;;;;Memória ou concentração;5211;827;64;21;
;;;;;Compreender os outros ou fazer-se compreender;5920;177;31;10;
;;M;2021;Total;Ver;4056;2527;252;11;
;;;;;Ouvir;6196;551;52;10;
;;;;;Andar ou subir degraus;5547;1093;191;15;
;;;;;Memória ou concentração;5424;1285;129;14;
;;;;;Compreender os outros ou fazer-se compreender;6582;227;35;2;
;55 - 59 anos;H;2021;Total;Ver;3495;1816;171;14;
;;;;;Ouvir;4614;742;84;22;
;;;;;Andar ou subir degraus;4493;822;157;28;
;;;;;Memória ou concentração;4448;941;88;16;
;;;;;Compreender os outros ou fazer-se compreender;5225;224;34;10;
;;M;2021;Total;Ver;3780;2511;264;13;
;;;;;Ouvir;5749;667;92;18;
;;;;;Andar ou subir degraus;4799;1445;305;21;
;;;;;Memória ou concentração;4910;1501;124;26;
;;;;;Compreender os outros ou fazer-se compreender;6268;251;41;10;
;60 - 64 anos;H;2021;Total;Ver;3290;1728;160;22;
;;;;;Ouvir;4269;782;106;9;
;;;;;Andar ou subir degraus;3985;941;236;48;
;;;;;Memória ou concentração;4062;1024;98;20;
;;;;;Compreender os outros ou fazer-se compreender;4924;240;48;13;
;;M;2021;Total;Ver;3708;2419;326;13;
;;;;;Ouvir;5366;890;148;13;
;;;;;Andar ou subir degraus;4178;1825;425;32;
;;;;;Memória ou concentração;4564;1655;204;29;
;;;;;Compreender os outros ou fazer-se compreender;6092;302;43;16;
;65 - 69 anos;H;2021;Total;Ver;3106;1683;166;22;
;;;;;Ouvir;3724;1043;173;13;
;;;;;Andar ou subir degraus;3531;1143;269;46;
;;;;;Memória ou concentração;3644;1194;116;31;
;;;;;Compreender os outros ou fazer-se compreender;4667;268;45;16;
;;M;2021;Total;Ver;3515;2469;298;11;
;;;;;Ouvir;5032;1064;143;20;
;;;;;Andar ou subir degraus;3682;2038;527;58;
;;;;;Memória ou concentração;4195;1862;200;37;
;;;;;Compreender os outros ou fazer-se compreender;5938;294;49;22;
;70 - 74 anos;H;2021;Total;Ver;2854;1740;212;18;
;;;;;Ouvir;3170;1345;266;8;
;;;;;Andar ou subir degraus;2991;1438;339;71;
;;;;;Memória ou concentração;3101;1503;182;39;
;;;;;Compreender os outros ou fazer-se compreender;4446;311;53;24;
;;M;2021;Total;Ver;3130;2585;398;18;
;;;;;Ouvir;4469;1372;243;21;
;;;;;Andar ou subir degraus;2931;2386;740;66;
;;;;;Memória ou concentração;3659;2123;292;51;
;;;;;Compreender os outros ou fazer-se compreender;5670;378;65;30;
;75 ou mais anos;H;2021;Total;Ver;3959;3586;726;59;
;;;;;Ouvir;4016;3152;1077;55;
;;;;;Andar ou subir degraus;3449;3305;1305;280;
;;;;;Memória ou concentração;4057;3339;722;208;
;;;;;Compreender os outros ou fazer-se compreender;6829;1122;301;96;
;;M;2021;Total;Ver;4353;6088;1674;88;
;;;;;Ouvir;5972;4379;1720;85;
;;;;;Andar ou subir degraus;2815;5111;3514;795;
;;;;;Memória ou concentração;4756;5260;1549;629;
;;;;;Compreender os outros ou fazer-se compreender;9444;1876;553;317;
1109: Mafra;Total;H;2021;Total;Ver;25433;7166;707;77;
;;;;;Ouvir;28911;3556;753;62;
;;;;;Andar ou subir degraus;28694;3536;945;231;
;;;;;Memória ou concentração;27335;5235;619;182;
;;;;;Compreender os outros ou fazer-se compreender;31723;1315;266;106;
;;M;2021;Total;Ver;24712;10192;1310;75;
;;;;;Ouvir;31525;3614;939;67;
;;;;;Andar ou subir degraus;28561;5275;1992;464;
;;;;;Memória ou concentração;27435;7313;1103;388;
;;;;;Compreender os outros ou fazer-se compreender;34134;1600;342;199;
;15 - 19 anos;H;2021;Total;Ver;2370;204;12;0;
;;;;;Ouvir;2549;28;2;0;
;;;;;Andar ou subir degraus;2571;12;3;2;
;;;;;Memória ou concentração;2385;174;19;1;
;;;;;Compreender os outros ou fazer-se compreender;2518;54;9;2;
;;M;2021;Total;Ver;2155;320;18;1;
;;;;;Ouvir;2457;18;1;4;
;;;;;Andar ou subir degraus;2460;24;6;4;
;;;;;Memória ou concentração;2279;198;12;4;
;;;;;Compreender os outros ou fazer-se compreender;2452;36;1;1;
;20 - 24 anos;H;2021;Total;Ver;2032;200;16;5;
;;;;;Ouvir;2202;38;4;4;
;;;;;Andar ou subir degraus;2215;25;1;9;
;;;;;Memória ou concentração;2068;156;14;10;
;;;;;Compreender os outros ou fazer-se compreender;2177;47;14;7;
;;M;2021;Total;Ver;1829;305;20;3;
;;;;;Ouvir;2104;38;7;1;
;;;;;Andar ou subir degraus;2130;23;3;4;
;;;;;Memória ou concentração;1965;174;12;4;
;;;;;Compreender os outros ou fazer-se compreender;2116;35;6;3;
;25 - 29 anos;H;2021;Total;Ver;1713;187;10;2;
;;;;;Ouvir;1865;34;4;2;
;;;;;Andar ou subir degraus;1872;29;6;5;
;;;;;Memória ou concentração;1756;141;14;4;
;;;;;Compreender os outros ou fazer-se compreender;1859;42;10;4;
;;M;2021;Total;Ver;1587;304;20;0;
;;;;;Ouvir;1849;50;7;2;
;;;;;Andar ou subir degraus;1864;39;5;4;
;;;;;Memória ou concentração;1669;228;9;4;
;;;;;Compreender os outros ou fazer-se compreender;1868;34;7;4;
;30 - 34 anos;H;2021;Total;Ver;1948;182;14;4;
;;;;;Ouvir;2074;52;11;5;
;;;;;Andar ou subir degraus;2100;35;3;9;
;;;;;Memória ou concentração;1963;158;11;11;
;;;;;Compreender os outros ou fazer-se compreender;2082;49;2;8;
;;M;2021;Total;Ver;1855;363;19;1;
;;;;;Ouvir;2167;59;3;4;
;;;;;Andar ou subir degraus;2149;70;15;7;
;;;;;Memória ou concentração;1927;285;17;9;
;;;;;Compreender os outros ou fazer-se compreender;2182;42;6;7;
;35 - 39 anos;H;2021;Total;Ver;2427;283;16;6;
;;;;;Ouvir;2640;78;9;2;
;;;;;Andar ou subir degraus;2642;74;9;9;
;;;;;Memória ou concentração;2458;245;21;6;
;;;;;Compreender os outros ou fazer-se compreender;2667;53;13;4;
;;M;2021;Total;Ver;2648;513;21;1;
;;;;;Ouvir;3060;110;5;1;
;;;;;Andar ou subir degraus;3043;124;9;9;
;;;;;Memória ou concentração;2685;464;26;9;
;;;;;Compreender os outros ou fazer-se compreender;3119;52;9;7;
;40 - 44 anos;H;2021;Total;Ver;3112;416;19;4;
;;;;;Ouvir;3372;146;17;5;
;;;;;Andar ou subir degraus;3395;128;19;7;
;;;;;Memória ou concentração;3155;365;23;8;
;;;;;Compreender os outros ou fazer-se compreender;3459;81;13;5;
;;M;2021;Total;Ver;3147;756;47;3;
;;;;;Ouvir;3801;132;11;5;
;;;;;Andar ou subir degraus;3715;202;22;12;
;;;;;Memória ou concentração;3367;542;26;16;
;;;;;Compreender os outros ou fazer-se compreender;3863;76;14;7;
;45 - 49 anos;H;2021;Total;Ver;2913;801;44;10;
;;;;;Ouvir;3519;216;22;8;
;;;;;Andar ou subir degraus;3548;199;30;6;
;;;;;Memória ou concentração;3305;440;26;8;
;;;;;Compreender os outros ou fazer-se compreender;3682;90;9;3;
;;M;2021;Total;Ver;2732;1199;68;11;
;;;;;Ouvir;3735;223;23;8;
;;;;;Andar ou subir degraus;3618;340;39;9;
;;;;;Memória ou concentração;3301;631;54;16;
;;;;;Compreender os outros ou fazer-se compreender;3885;102;12;9;
;50 - 54 anos;H;2021;Total;Ver;2173;960;47;4;
;;;;;Ouvir;2874;262;29;6;
;;;;;Andar ou subir degraus;2876;277;27;9;
;;;;;Memória ou concentração;2675;483;32;3;
;;;;;Compreender os outros ou fazer-se compreender;3069;102;17;1;
;;M;2021;Total;Ver;1923;1058;90;4;
;;;;;Ouvir;2785;245;26;3;
;;;;;Andar ou subir degraus;2600;384;72;8;
;;;;;Memória ou concentração;2405;583;62;13;
;;;;;Compreender os outros ou fazer-se compreender;2950;106;10;6;
;55 - 59 anos;H;2021;Total;Ver;1742;810;59;4;
;;;;;Ouvir;2265;291;37;2;
;;;;;Andar ou subir degraus;2207;327;57;12;
;;;;;Memória ou concentração;2071;476;48;8;
;;;;;Compreender os outros ou fazer-se compreender;2487;106;14;4;
;;M;2021;Total;Ver;1684;947;85;8;
;;;;;Ouvir;2397;266;40;7;
;;;;;Andar ou subir degraus;2104;511;92;16;
;;;;;Memória ou concentração;2055;583;55;21;
;;;;;Compreender os outros ou fazer-se compreender;2593;95;14;13;
;60 - 64 anos;H;2021;Total;Ver;1399;695;52;2;
;;;;;Ouvir;1709;379;49;2;
;;;;;Andar ou subir degraus;1666;400;74;11;
;;;;;Memória ou concentração;1633;466;38;8;
;;;;;Compreender os outros ou fazer-se compreender;2043;91;15;6;
;;M;2021;Total;Ver;1381;836;92;2;
;;;;;Ouvir;1954;294;47;1;
;;;;;Andar ou subir degraus;1590;575;144;6;
;;;;;Memória ou concentração;1635;602;67;7;
;;;;;Compreender os outros ou fazer-se compreender;2210;85;11;1;
;65 - 69 anos;H;2021;Total;Ver;1199;620;62;7;
;;;;;Ouvir;1392;420;62;6;
;;;;;Andar ou subir degraus;1349;408;113;19;
;;;;;Memória ou concentração;1371;453;52;13;
;;;;;Compreender os outros ou fazer-se compreender;1773;89;20;7;
;;M;2021;Total;Ver;1262;757;99;7;
;;;;;Ouvir;1741;319;53;4;
;;;;;Andar ou subir degraus;1321;611;174;25;
;;;;;Memória ou concentração;1445;581;86;17;
;;;;;Compreender os outros ou fazer-se compreender;1996;106;16;14;
;70 - 74 anos;H;2021;Total;Ver;1020;563;71;12;
;;;;;Ouvir;1102;460;90;6;
;;;;;Andar ou subir degraus;1068;473;108;20;
;;;;;Memória ou concentração;1087;523;52;5;
;;;;;Compreender os outros ou fazer-se compreender;1546;99;21;8;
;;M;2021;Total;Ver;1052;807;129;10;
;;;;;Ouvir;1502;411;68;5;
;;;;;Andar ou subir degraus;1017;731;230;24;
;;;;;Memória ou concentração;1163;718;90;23;
;;;;;Compreender os outros ou fazer-se compreender;1837;136;18;10;
;75 ou mais anos;H;2021;Total;Ver;1385;1245;285;17;
;;;;;Ouvir;1348;1152;417;14;
;;;;;Andar ou subir degraus;1185;1149;495;113;
;;;;;Memória ou concentração;1408;1155;269;97;
;;;;;Compreender os outros ou fazer-se compreender;2361;412;109;47;
;;M;2021;Total;Ver;1457;2027;602;24;
;;;;;Ouvir;1973;1449;648;22;
;;;;;Andar ou subir degraus;950;1641;1181;336;
;;;;;Memória ou concentração;1539;1724;587;245;
;;;;;Compreender os outros ou fazer-se compreender;3063;695;218;117;
1116: Odivelas;Total;H;2021;Total;Ver;42195;12812;1307;157;
;;;;;Ouvir;48682;6201;1214;118;
;;;;;Andar ou subir degraus;47780;6533;1888;349;
;;;;;Memória ou concentração;46095;8965;1053;282;
;;;;;Compreender os outros ou fazer-se compreender;53442;2401;441;171;
;;M;2021;Total;Ver;42524;19914;2625;174;
;;;;;Ouvir;55469;7509;1727;154;
;;;;;Andar ou subir degraus;48839;11598;4219;628;
;;;;;Memória ou concentração;48553;14025;1935;552;
;;;;;Compreender os outros ou fazer-se compreender;61080;3144;619;280;
;15 - 19 anos;H;2021;Total;Ver;3238;286;23;5;
;;;;;Ouvir;3486;49;6;1;
;;;;;Andar ou subir degraus;3493;36;5;7;
;;;;;Memória ou concentração;3272;220;36;9;
;;;;;Compreender os outros ou fazer-se compreender;3434;97;10;9;
;;M;2021;Total;Ver;2961;513;44;1;
;;;;;Ouvir;3447;54;8;2;
;;;;;Andar ou subir degraus;3455;57;11;7;
;;;;;Memória ou concentração;3218;263;24;10;
;;;;;Compreender os outros ou fazer-se compreender;3438;65;10;7;
;20 - 24 anos;H;2021;Total;Ver;3603;365;31;2;
;;;;;Ouvir;3928;56;6;5;
;;;;;Andar ou subir degraus;3960;30;7;7;
;;;;;Memória ou concentração;3744;226;26;9;
;;;;;Compreender os outros ou fazer-se compreender;3880;105;8;13;
;;M;2021;Total;Ver;3107;641;42;2;
;;;;;Ouvir;3694;75;5;3;
;;;;;Andar ou subir degraus;3684;91;9;3;
;;;;;Memória ou concentração;3378;381;27;2;
;;;;;Compreender os outros ou fazer-se compreender;3704;72;8;6;
;25 - 29 anos;H;2021;Total;Ver;3739;393;33;5;
;;;;;Ouvir;4078;64;9;4;
;;;;;Andar ou subir degraus;4105;50;9;11;
;;;;;Memória ou concentração;3846;301;17;6;
;;;;;Compreender os outros ou fazer-se compreender;4030;121;15;9;
;;M;2021;Total;Ver;3529;682;49;6;
;;;;;Ouvir;4146;90;13;4;
;;;;;Andar ou subir degraus;4134;115;5;5;
;;;;;Memória ou concentração;3766;452;27;10;
;;;;;Compreender os outros ou fazer-se compreender;4140;97;16;6;
;30 - 34 anos;H;2021;Total;Ver;3936;453;21;8;
;;;;;Ouvir;4299;92;5;9;
;;;;;Andar ou subir degraus;4306;86;16;10;
;;;;;Memória ou concentração;3993;388;21;12;
;;;;;Compreender os outros ou fazer-se compreender;4275;106;24;10;
;;M;2021;Total;Ver;3977;834;54;7;
;;;;;Ouvir;4702;131;15;10;
;;;;;Andar ou subir degraus;4706;140;19;5;
;;;;;Memória ou concentração;4205;627;23;12;
;;;;;Compreender os outros ou fazer-se compreender;4724;119;15;6;
;35 - 39 anos;H;2021;Total;Ver;4507;526;28;9;
;;;;;Ouvir;4892;154;12;9;
;;;;;Andar ou subir degraus;4914;129;24;10;
;;;;;Memória ou concentração;4596;451;25;11;
;;;;;Compreender os outros ou fazer-se compreender;4908;129;32;11;
;;M;2021;Total;Ver;4488;848;31;6;
;;;;;Ouvir;5158;183;8;10;
;;;;;Andar ou subir degraus;5104;237;29;7;
;;;;;Memória ou concentração;4616;700;39;11;
;;;;;Compreender os outros ou fazer-se compreender;5228;121;14;9;
;40 - 44 anos;H;2021;Total;Ver;4807;779;39;11;
;;;;;Ouvir;5365;228;24;9;
;;;;;Andar ou subir degraus;5381;217;34;11;
;;;;;Memória ou concentração;5068;529;35;7;
;;;;;Compreender os outros ou fazer-se compreender;5482;129;26;4;
;;M;2021;Total;Ver;4840;1242;65;11;
;;;;;Ouvir;5832;276;15;11;
;;;;;Andar ou subir degraus;5675;423;49;16;
;;;;;Memória ou concentração;5237;848;58;15;
;;;;;Compreender os outros ou fazer-se compreender;6013;132;14;11;
;45 - 49 anos;H;2021;Total;Ver;3917;1274;62;15;
;;;;;Ouvir;4892;308;30;12;
;;;;;Andar ou subir degraus;4882;331;46;13;
;;;;;Memória ou concentração;4608;597;51;11;
;;;;;Compreender os outros ou fazer-se compreender;5100;139;23;5;
;;M;2021;Total;Ver;3753;1963;126;11;
;;;;;Ouvir;5410;364;33;14;
;;;;;Andar ou subir degraus;5135;623;75;17;
;;;;;Memória ou concentração;4766;1008;59;8;
;;;;;Compreender os outros ou fazer-se compreender;5642;178;16;6;
;50 - 54 anos;H;2021;Total;Ver;2814;1354;87;13;
;;;;;Ouvir;3807;382;42;13;
;;;;;Andar ou subir degraus;3758;413;79;18;
;;;;;Memória ou concentração;3607;585;45;13;
;;;;;Compreender os outros ou fazer-se compreender;4106;131;24;12;
;;M;2021;Total;Ver;2943;1820;149;16;
;;;;;Ouvir;4444;397;44;10;
;;;;;Andar ou subir degraus;3964;813;132;16;
;;;;;Memória ou concentração;3881;935;84;14;
;;;;;Compreender os outros ou fazer-se compreender;4735;163;20;6;
;55 - 59 anos;H;2021;Total;Ver;2463;1297;93;12;
;;;;;Ouvir;3306;475;50;8;
;;;;;Andar ou subir degraus;3211;512;120;18;
;;;;;Memória ou concentração;3110;660;64;12;
;;;;;Compreender os outros ou fazer-se compreender;3666;154;25;9;
;;M;2021;Total;Ver;2741;1775;159;19;
;;;;;Ouvir;4055;530;53;13;
;;;;;Andar ou subir degraus;3428;1042;217;13;
;;;;;Memória ou concentração;3511;1069;90;12;
;;;;;Compreender os outros ou fazer-se compreender;4476;176;26;8;
;60 - 64 anos;H;2021;Total;Ver;2265;1235;137;13;
;;;;;Ouvir;2944;577;94;11;
;;;;;Andar ou subir degraus;2746;716;177;24;
;;;;;Memória ou concentração;2776;773;71;22;
;;;;;Compreender os outros ou fazer-se compreender;3427;167;32;11;
;;M;2021;Total;Ver;2550;1780;205;10;
;;;;;Ouvir;3765;657;84;6;
;;;;;Andar ou subir degraus;2914;1288;329;18;
;;;;;Memória ou concentração;3148;1242;131;12;
;;;;;Compreender os outros ou fazer-se compreender;4330;169;30;5;
;65 - 69 anos;H;2021;Total;Ver;2187;1195;123;8;
;;;;;Ouvir;2628;728;129;8;
;;;;;Andar ou subir degraus;2451;858;189;24;
;;;;;Memória ou concentração;2537;875;76;19;
;;;;;Compreender os outros ou fazer-se compreender;3297;179;29;11;
;;M;2021;Total;Ver;2529;1753;236;10;
;;;;;Ouvir;3588;765;125;12;
;;;;;Andar ou subir degraus;2632;1507;373;20;
;;;;;Memória ou concentração;3005;1351;131;23;
;;;;;Compreender os outros ou fazer-se compreender;4221;245;31;17;
;70 - 74 anos;H;2021;Total;Ver;2088;1235;143;13;
;;;;;Ouvir;2304;961;172;7;
;;;;;Andar ou subir degraus;2177;1022;255;40;
;;;;;Memória ou concentração;2234;1101;116;23;
;;;;;Compreender os outros ou fazer-se compreender;3201;205;43;21;
;;M;2021;Total;Ver;2253;1896;298;11;
;;;;;Ouvir;3192;1023;187;12;
;;;;;Andar ou subir degraus;2157;1727;545;44;
;;;;;Memória ou concentração;2659;1533;197;44;
;;;;;Compreender os outros ou fazer-se compreender;4087;285;40;19;
;75 ou mais anos;H;2021;Total;Ver;2631;2420;487;43;
;;;;;Ouvir;2753;2127;635;22;
;;;;;Andar ou subir degraus;2396;2133;927;156;
;;;;;Memória ou concentração;2704;2259;470;128;
;;;;;Compreender os outros ou fazer-se compreender;4636;739;150;46;
;;M;2021;Total;Ver;2853;4167;1167;64;
;;;;;Ouvir;4036;2964;1137;47;
;;;;;Andar ou subir degraus;1851;3535;2426;457;
;;;;;Memória ou concentração;3163;3616;1045;379;
;;;;;Compreender os outros ou fazer-se compreender;6342;1322;379;174;
1110: Oeiras;Total;H;2021;Total;Ver;50608;12751;1215;148;
;;;;;Ouvir;56426;6743;1217;168;
;;;;;Andar ou subir degraus;55797;6696;1884;418;
;;;;;Memória ou concentração;53291;9969;1128;344;
;;;;;Compreender os outros ou fazer-se compreender;61932;2210;470;190;
;;M;2021;Total;Ver;54291;20387;2757;200;
;;;;;Ouvir;67002;8293;1874;199;
;;;;;Andar ou subir degraus;60158;12243;4500;792;
;;;;;Memória ou concentração;59184;15596;2040;745;
;;;;;Compreender os outros ou fazer-se compreender;73731;2971;658;337;
;15 - 19 anos;H;2021;Total;Ver;4254;306;20;4;
;;;;;Ouvir;4529;40;4;6;
;;;;;Andar ou subir degraus;4543;20;8;8;
;;;;;Memória ou concentração;4291;247;33;8;
;;;;;Compreender os outros ou fazer-se compreender;4479;81;15;5;
;;M;2021;Total;Ver;3876;431;31;0;
;;;;;Ouvir;4280;47;2;1;
;;;;;Andar ou subir degraus;4300;42;3;2;
;;;;;Memória ou concentração;4071;240;27;6;
;;;;;Compreender os outros ou fazer-se compreender;4290;47;7;4;
;20 - 24 anos;H;2021;Total;Ver;3922;319;29;3;
;;;;;Ouvir;4212;44;2;3;
;;;;;Andar ou subir degraus;4232;35;8;3;
;;;;;Memória ou concentração;4013;231;24;5;
;;;;;Compreender os outros ou fazer-se compreender;4182;73;12;6;
;;M;2021;Total;Ver;3530;504;33;4;
;;;;;Ouvir;3989;65;3;3;
;;;;;Andar ou subir degraus;3991;70;13;4;
;;;;;Memória ou concentração;3744;301;24;6;
;;;;;Compreender os outros ou fazer-se compreender;4007;60;5;3;
;25 - 29 anos;H;2021;Total;Ver;3827;367;21;8;
;;;;;Ouvir;4125;71;8;8;
;;;;;Andar ou subir degraus;4146;58;15;10;
;;;;;Memória ou concentração;3836;333;36;13;
;;;;;Compreender os outros ou fazer-se compreender;4083;103;20;15;
;;M;2021;Total;Ver;3580;617;40;3;
;;;;;Ouvir;4125;94;1;6;
;;;;;Andar ou subir degraus;4138;94;7;5;
;;;;;Memória ou concentração;3782;409;36;7;
;;;;;Compreender os outros ou fazer-se compreender;4131;83;9;6;
;30 - 34 anos;H;2021;Total;Ver;3957;419;26;3;
;;;;;Ouvir;4275;99;10;10;
;;;;;Andar ou subir degraus;4314;69;13;9;
;;;;;Memória ou concentração;4008;365;22;13;
;;;;;Compreender os outros ou fazer-se compreender;4270;103;16;14;
;;M;2021;Total;Ver;3869;672;32;8;
;;;;;Ouvir;4438;117;6;12;
;;;;;Andar ou subir degraus;4458;107;11;8;
;;;;;Memória ou concentração;4050;487;28;11;
;;;;;Compreender os outros ou fazer-se compreender;4476;94;16;3;
;35 - 39 anos;H;2021;Total;Ver;4357;457;19;12;
;;;;;Ouvir;4665;146;9;13;
;;;;;Andar ou subir degraus;4691;114;19;12;
;;;;;Memória ou concentração;4367;431;30;10;
;;;;;Compreender os outros ou fazer-se compreender;4689;114;26;7;
;;M;2021;Total;Ver;4592;731;55;3;
;;;;;Ouvir;5184;163;14;3;
;;;;;Andar ou subir degraus;5186;162;26;3;
;;;;;Memória ou concentração;4700;634;36;10;
;;;;;Compreender os outros ou fazer-se compreender;5255;103;17;4;
;40 - 44 anos;H;2021;Total;Ver;5139;736;36;12;
;;;;;Ouvir;5675;199;19;20;
;;;;;Andar ou subir degraus;5678;200;28;21;
;;;;;Memória ou concentração;5330;534;38;18;
;;;;;Compreender os outros ou fazer-se compreender;5801;90;18;11;
;;M;2021;Total;Ver;5534;1170;68;13;
;;;;;Ouvir;6491;235;17;21;
;;;;;Andar ou subir degraus;6446;294;35;11;
;;;;;Memória ou concentração;5792;924;43;10;
;;;;;Compreender os outros ou fazer-se compreender;6646;125;11;4;
;45 - 49 anos;H;2021;Total;Ver;4930;1406;46;9;
;;;;;Ouvir;6006;340;23;10;
;;;;;Andar ou subir degraus;6044;286;45;18;
;;;;;Memória ou concentração;5640;694;43;15;
;;;;;Compreender os outros ou fazer-se compreender;6250;122;23;7;
;;M;2021;Total;Ver;5329;2048;110;14;
;;;;;Ouvir;7088;336;26;21;
;;;;;Andar ou subir degraus;6921;506;60;14;
;;;;;Memória ou concentração;6279;1119;66;18;
;;;;;Compreender os outros ou fazer-se compreender;7353;118;20;11;
;50 - 54 anos;H;2021;Total;Ver;3746;1324;67;13;
;;;;;Ouvir;4742;351;30;17;
;;;;;Andar ou subir degraus;4729;335;60;19;
;;;;;Memória ou concentração;4394;689;45;20;
;;;;;Compreender os outros ou fazer-se compreender;4992;125;26;8;
;;M;2021;Total;Ver;4129;1913;148;16;
;;;;;Ouvir;5736;401;23;17;
;;;;;Andar ou subir degraus;5417;651;115;16;
;;;;;Memória ou concentração;4974;1118;77;21;
;;;;;Compreender os outros ou fazer-se compreender;6029;145;15;9;
;55 - 59 anos;H;2021;Total;Ver;3214;1215;65;9;
;;;;;Ouvir;4006;431;28;13;
;;;;;Andar ou subir degraus;3948;450;95;20;
;;;;;Memória ou concentração;3795;648;55;10;
;;;;;Compreender os outros ou fazer-se compreender;4353;131;17;14;
;;M;2021;Total;Ver;3779;1781;166;8;
;;;;;Ouvir;5180;476;46;12;
;;;;;Andar ou subir degraus;4585;950;196;18;
;;;;;Memória ou concentração;4460;1169;85;20;
;;;;;Compreender os outros ou fazer-se compreender;5585;142;18;10;
;60 - 64 anos;H;2021;Total;Ver;3051;1064;88;10;
;;;;;Ouvir;3605;525;57;7;
;;;;;Andar ou subir degraus;3439;642;122;27;
;;;;;Memória ou concentração;3403;754;53;16;
;;;;;Compreender os outros ou fazer-se compreender;4078;119;23;10;
;;M;2021;Total;Ver;3597;1589;178;11;
;;;;;Ouvir;4714;565;56;9;
;;;;;Andar ou subir degraus;3946;1149;253;23;
;;;;;Memória ou concentração;4095;1169;93;15;
;;;;;Compreender os outros ou fazer-se compreender;5209;142;24;6;
;65 - 69 anos;H;2021;Total;Ver;2857;1087;89;11;
;;;;;Ouvir;3212;737;82;7;
;;;;;Andar ou subir degraus;3121;743;170;28;
;;;;;Memória ou concentração;3076;887;74;15;
;;;;;Compreender os outros ou fazer-se compreender;3880;144;36;6;
;;M;2021;Total;Ver;3705;1810;207;12;
;;;;;Ouvir;4797;827;89;6;
;;;;;Andar ou subir degraus;3848;1501;362;28;
;;;;;Memória ou concentração;4108;1472;121;21;
;;;;;Compreender os outros ou fazer-se compreender;5517;182;29;9;
;70 - 74 anos;H;2021;Total;Ver;3058;1278;130;11;
;;;;;Ouvir;3232;1070;149;16;
;;;;;Andar ou subir degraus;3176;1036;236;38;
;;;;;Memória ou concentração;3147;1206;105;24;
;;;;;Compreender os outros ou fazer-se compreender;4253;197;34;12;
;;M;2021;Total;Ver;3758;2003;232;14;
;;;;;Ouvir;4742;1081;147;15;
;;;;;Andar ou subir degraus;3503;1964;513;49;
;;;;;Memória ou concentração;4001;1783;174;55;
;;;;;Compreender os outros ou fazer-se compreender;5710;262;35;23;
;75 ou mais anos;H;2021;Total;Ver;4296;2773;579;43;
;;;;;Ouvir;4142;2690;796;38;
;;;;;Andar ou subir degraus;3736;2708;1065;205;
;;;;;Memória ou concentração;3991;2950;570;177;
;;;;;Compreender os outros ou fazer-se compreender;6622;808;204;75;
;;M;2021;Total;Ver;5013;5118;1457;94;
;;;;;Ouvir;6238;3886;1444;73;
