
Quadro extraído em 25 de Março de 2025 (11:07:34)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024 - Município);Grupo etário;Sexo;Período de referência dos dados;Nível de escolaridade mais elevado completo;Tipo de dificuldade;Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades por Local de residência à data dos Censos [2021] (NUTS - 2024 - Município), Sexo, Grupo etário, Nível de escolaridade mais elevado completo, Tipo de dificuldade e Grau de dificuldade -  Decenal;;;;
;;;;;;Grau de dificuldade;;;;
;;;;;;Não tem nenhuma dificuldade;Tem alguma dificuldade;Tem muita dificuldade;Não consegue efetuar a ação;
;;;;;;N.º ;N.º ;N.º ;N.º ;
;;;;;Ouvir;4686;816;90;18;
;;;;;Andar ou subir degraus;3700;1506;424;24;
;;;;;Memória ou concentração;4027;1439;156;18;
;;;;;Compreender os outros ou fazer-se compreender;5338;251;36;15;
;65 - 69 anos;H;2021;Total;Ver;2571;1336;144;21;
;;;;;Ouvir;3079;838;122;13;
;;;;;Andar ou subir degraus;2866;926;244;40;
;;;;;Memória ou concentração;2943;1009;92;25;
;;;;;Compreender os outros ou fazer-se compreender;3795;222;49;13;
;;M;2021;Total;Ver;3060;1991;269;20;
;;;;;Ouvir;4279;892;131;16;
;;;;;Andar ou subir degraus;3157;1708;465;24;
;;;;;Memória ou concentração;3644;1504;170;21;
;;;;;Compreender os outros ou fazer-se compreender;5055;237;36;16;
;70 - 74 anos;H;2021;Total;Ver;2431;1340;168;19;
;;;;;Ouvir;2681;1052;189;15;
;;;;;Andar ou subir degraus;2559;1087;272;48;
;;;;;Memória ou concentração;2653;1163;107;33;
;;;;;Compreender os outros ou fazer-se compreender;3680;237;38;11;
;;M;2021;Total;Ver;2866;2177;374;8;
;;;;;Ouvir;3974;1189;220;11;
;;;;;Andar ou subir degraus;2681;2033;672;50;
;;;;;Memória ou concentração;3281;1843;238;43;
;;;;;Compreender os outros ou fazer-se compreender;5033;321;55;17;
;75 ou mais anos;H;2021;Total;Ver;3463;2937;591;51;
;;;;;Ouvir;3490;2610;889;37;
;;;;;Andar ou subir degraus;3009;2673;1173;213;
;;;;;Memória ou concentração;3408;2888;573;173;
;;;;;Compreender os outros ou fazer-se compreender;5923;837;221;82;
;;M;2021;Total;Ver;4083;5320;1514;88;
;;;;;Ouvir;5601;3853;1453;74;
;;;;;Andar ou subir degraus;2513;4784;3192;505;
;;;;;Memória ou concentração;4426;4792;1354;398;
;;;;;Compreender os outros ou fazer-se compreender;8792;1649;392;164;
1105: Cascais;Total;H;2021;Total;Ver;62283;15928;1500;204;
;;;;;Ouvir;69731;8166;1556;205;
;;;;;Andar ou subir degraus;68904;8357;2180;564;
;;;;;Memória ou concentração;66387;11650;1365;488;
;;;;;Compreender os outros ou fazer-se compreender;76050;3033;623;260;
;;M;2021;Total;Ver;66698;25100;3235;228;
;;;;;Ouvir;82483;9913;2269;229;
;;;;;Andar ou subir degraus;74593;14659;5079;1058;
;;;;;Memória ou concentração;73184;18505;2558;952;
;;;;;Compreender os outros ou fazer-se compreender;89950;4078;866;464;
;15 - 19 anos;H;2021;Total;Ver;5577;393;26;6;
;;;;;Ouvir;5922;58;3;5;
;;;;;Andar ou subir degraus;5936;31;12;10;
;;;;;Memória ou concentração;5598;339;41;17;
;;;;;Compreender os outros ou fazer-se compreender;5831;117;23;12;
;;M;2021;Total;Ver;4930;664;45;1;
;;;;;Ouvir;5558;64;5;1;
;;;;;Andar ou subir degraus;5584;51;4;1;
;;;;;Memória ou concentração;5260;328;34;3;
;;;;;Compreender os outros ou fazer-se compreender;5533;94;6;6;
;20 - 24 anos;H;2021;Total;Ver;5118;443;33;5;
;;;;;Ouvir;5501;69;5;7;
;;;;;Andar ou subir degraus;5533;44;12;12;
;;;;;Memória ou concentração;5277;272;33;14;
;;;;;Compreender os outros ou fazer-se compreender;5463;97;28;9;
;;M;2021;Total;Ver;4667;639;49;7;
;;;;;Ouvir;5256;80;4;5;
;;;;;Andar ou subir degraus;5275;78;7;9;
;;;;;Memória ou concentração;4954;370;27;7;
;;;;;Compreender os outros ou fazer-se compreender;5261;85;11;4;
;25 - 29 anos;H;2021;Total;Ver;4516;405;36;7;
;;;;;Ouvir;4852;72;11;9;
;;;;;Andar ou subir degraus;4879;54;11;16;
;;;;;Memória ou concentração;4592;319;35;5;
