
Quadro extraído em 25 de Março de 2025 (11:06:01)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024 - Município);Grupo etário;Sexo;Período de referência dos dados;Nível de escolaridade mais elevado completo;Tipo de dificuldade;Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades por Local de residência à data dos Censos [2021] (NUTS - 2024 - Município), Sexo, Grupo etário, Nível de escolaridade mais elevado completo, Tipo de dificuldade e Grau de dificuldade -  Decenal;;;;
;;;;;;Grau de dificuldade;;;;
;;;;;;Não tem nenhuma dificuldade;Tem alguma dificuldade;Tem muita dificuldade;Não consegue efetuar a ação;
;;;;;;N.º ;N.º ;N.º ;N.º ;
;;;;;Memória ou concentração;40923;9934;873;216;
;;;;;Compreender os outros ou fazer-se compreender;49485;2040;396;123;
;;M;2021;Total;Ver;39566;22043;2667;140;
;;;;;Ouvir;54854;8057;982;161;
;;;;;Andar ou subir degraus;44238;16092;3850;308;
;;;;;Memória ou concentração;47081;15431;1603;248;
;;;;;Compreender os outros ou fazer-se compreender;61495;2446;352;138;
;65 - 69 anos;H;2021;Total;Ver;31490;14615;1503;172;
;;;;;Ouvir;36770;9320;1332;119;
;;;;;Andar ou subir degraus;34808;10350;2336;405;
;;;;;Memória ou concentração;35672;10943;949;254;
;;;;;Compreender os outros ou fazer-se compreender;45202;2124;412;161;
;;M;2021;Total;Ver;36913;21767;2807;157;
;;;;;Ouvir;50152;9681;1352;157;
;;;;;Andar ou subir degraus;38262;18335;4735;422;
;;;;;Memória ou concentração;42716;16853;1704;294;
;;;;;Compreender os outros ou fazer-se compreender;58480;2623;406;185;
;70 - 74 anos;H;2021;Total;Ver;29053;14622;1774;214;
;;;;;Ouvir;31425;11904;1997;132;
;;;;;Andar ou subir degraus;30206;12057;2974;548;
;;;;;Memória ou concentração;30753;13197;1375;324;
;;;;;Compreender os outros ou fazer-se compreender;42459;2585;479;217;
;;M;2021;Total;Ver;33713;22906;3410;180;
;;;;;Ouvir;45188;12488;2102;163;
;;;;;Andar ou subir degraus;31431;21574;6650;609;
;;;;;Memória ou concentração;37611;19587;2383;517;
;;;;;Compreender os outros ou fazer-se compreender;56194;3284;521;278;
;75 ou mais anos;H;2021;Total;Ver;40777;32097;6712;590;
;;;;;Ouvir;40396;29480;9557;465;
;;;;;Andar ou subir degraus;34845;30424;12430;2629;
;;;;;Memória ou concentração;40066;31540;6509;1996;
;;;;;Compreender os outros ou fazer-se compreender;67315;9576;2474;944;
;;M;2021;Total;Ver;49922;60170;17304;1052;
;;;;;Ouvir;64946;44857;17325;829;
;;;;;Andar ou subir degraus;32203;53219;35458;7775;
;;;;;Memória ou concentração;52605;54040;15583;6042;
;;;;;Compreender os outros ou fazer-se compreender;101497;18562;5552;2838;

Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades por Local de residência à data dos Censos [2021] (NUTS - 2024 - Município), Sexo, Grupo etário, Nível de escolaridade mais elevado completo, Tipo de dificuldade e Grau de dificuldade -  Decenal - INE, Recenseamento da população e habitação - Censos 2021


Última atualização destes dados: 10 de abril de 2024


Metainformação associada ao quadro

Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades
Designação;Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades por Local de residência à data dos Censos [2021] (NUTS - 2024 - Município), Sexo, Grupo etário, Nível de escolaridade mais elevado completo, Tipo de dificuldade e Grau de dificuldade -  Decenal
Periodicidade;Decenal
Fonte;INE, Recenseamento da população e habitação - Censos 2021
Primeiro período disponível;2021
Último período disponível;2021
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência à data dos Censos [2021] (NUTS - 2024 - Município)
     Dimensão 3;Sexo
     Dimensão 4;Grupo etário
     Dimensão 5;Nível de escolaridade mais elevado completo
     Dimensão 6;Tipo de dificuldade
     Dimensão 7;Grau de dificuldade
Conceitos
     NÍVEL DE ESCOLARIDADE COMPLETO;Nível de escolaridade mais elevado que foi concluído com êxito, ou para o qual se obteve equivalência, e que confere um certificado ou um diploma.
     LOCAL DE RESIDÊNCIA HABITUAL;Local onde a pessoa passa habitualmente o seu período de descanso quotidiano (independentemente de ausências temporárias por motivos de lazer, férias, visita a amigos e familiares, atividade profissional, tratamento médico ou outras), e onde vive ou tem a intenção de viver a maior parte do ano, tendo por referência os últimos 12 meses.
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
     GRUPO ETÁRIO;Intervalo de idade, em anos, no qual o indivíduo se enquadra, de acordo com o momento de referência
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;10-Apr-2024
