
Quadro extraído em 23 de Fevereiro de 2025 (13:27:18)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Naturalidade (País) -  Decenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Naturalidade (País);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total;Portuguesa;Estrangeira;Europa;Alemanha;Áustria;Bélgica;Bulgária;Espanha;França;Irlanda;Itália;Luxemburgo;Países Baixos;Polónia;Roménia;Suécia;Federação da Rússia;Suíça;Ucrânia;África;África do Sul;Angola;Cabo Verde;Guiné-Bissau;Moçambique;São Tomé e Príncipe;América;Canadá;Estados Unidos da América;Argentina;Brasil;Venezuela;Ásia;Bangladeche;China;Índia;Nepal;Paquistão;Oceânia;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;50 - 54 anos;H;2021;5034;3774;1260;177;20;1;3;4;4;39;1;3;0;3;0;25;1;3;1;59;826;7;298;205;99;117;68;192;2;2;2;177;5;65;0;21;18;0;15;0;
;;M;2021;5917;4241;1676;187;17;0;3;6;7;49;0;1;0;4;0;27;2;9;0;48;1092;15;367;347;89;135;112;346;3;5;0;320;14;51;0;17;17;3;5;0;
;55 - 59 anos;H;2021;4576;3582;994;74;1;1;0;4;5;4;0;3;0;0;1;10;0;8;0;26;759;4;227;221;104;123;55;126;0;3;0;114;5;35;2;9;10;1;2;0;
;;M;2021;5926;4535;1391;101;4;0;0;4;6;15;0;0;1;1;1;8;0;11;1;42;967;4;269;348;69;144;104;291;2;1;0;269;14;32;0;11;15;0;0;0;
;60 - 64 anos;H;2021;4527;3683;844;66;2;0;2;0;3;10;0;3;0;2;1;5;0;4;2;25;666;1;207;225;78;92;34;76;0;1;0;67;6;36;0;4;22;1;1;0;
;;M;2021;5860;4724;1136;65;0;0;0;2;4;4;0;2;0;1;1;5;0;9;0;30;860;1;261;316;64;117;82;172;0;3;1;156;10;38;1;9;15;1;2;1;
;65 - 69 anos;H;2021;4222;3598;624;42;2;0;1;0;8;3;0;6;0;4;1;3;2;2;0;8;518;1;103;257;45;71;25;29;0;1;0;24;3;35;0;7;16;0;1;0;
;;M;2021;5533;4726;807;44;1;0;0;0;2;6;0;2;0;1;0;2;0;4;0;14;651;0;185;295;29;89;40;72;0;3;3;60;3;40;0;6;16;2;2;0;
;70 - 74 anos;H;2021;4090;3756;334;26;0;0;4;1;2;7;0;2;1;0;0;0;1;2;1;0;275;0;70;98;28;51;16;10;0;0;1;7;1;23;1;4;12;0;1;0;
;;M;2021;5590;5100;490;20;2;0;1;0;7;3;0;0;0;0;0;0;0;2;0;2;412;0;142;139;15;82;27;31;0;2;0;26;1;27;1;4;11;0;0;0;
