
Quadro extraído em 25 de Fevereiro de 2025 (00:27:20)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Naturalidade (País) -  Decenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Naturalidade (País);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total;Portuguesa;Estrangeira;Europa;Alemanha;Áustria;Bélgica;Bulgária;Espanha;França;Irlanda;Itália;Luxemburgo;Países Baixos;Polónia;Roménia;Suécia;Federação da Rússia;Suíça;Ucrânia;África;África do Sul;Angola;Cabo Verde;Guiné-Bissau;Moçambique;São Tomé e Príncipe;América;Canadá;Estados Unidos da América;Argentina;Brasil;Venezuela;Ásia;Bangladeche;China;Índia;Nepal;Paquistão;Oceânia;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;50 - 54 anos;H;2021;3290;2745;545;141;11;1;2;3;3;31;0;3;0;2;0;17;0;4;1;30;265;7;146;10;9;79;9;119;3;5;5;100;2;18;0;9;1;2;0;2;
;;M;2021;3167;2628;539;135;9;1;4;2;5;34;0;1;0;3;0;14;2;3;1;23;239;6;141;12;9;66;3;153;2;6;0;139;1;12;0;7;0;0;0;0;
;55 - 59 anos;H;2021;2720;2355;365;93;5;2;1;3;9;8;0;6;0;3;0;2;3;3;1;18;195;3;99;17;6;61;5;67;1;2;1;61;2;10;0;4;3;0;0;0;
;;M;2021;2841;2479;362;75;4;0;0;1;3;8;0;0;0;1;2;3;3;8;0;26;164;3;85;9;7;53;4;115;1;5;0;106;1;8;0;2;1;0;0;0;
;60 - 64 anos;H;2021;2247;2044;203;46;0;0;2;1;1;7;0;0;0;1;0;2;4;3;2;10;107;2;47;16;4;31;4;44;1;8;0;34;1;6;0;1;2;0;1;0;
;;M;2021;2396;2151;245;40;5;0;1;1;3;4;0;2;0;0;0;3;2;2;2;5;142;0;79;17;5;34;5;56;0;5;0;48;1;7;0;2;0;0;0;0;
;65 - 69 anos;H;2021;1956;1825;131;30;4;1;0;0;0;10;0;4;1;1;0;2;2;0;0;3;80;0;37;10;6;21;2;16;0;0;0;12;0;5;0;0;1;0;0;0;
;;M;2021;2213;2033;180;38;0;0;0;0;5;10;0;1;0;0;0;4;1;2;3;6;106;2;52;10;5;32;3;30;1;2;0;24;2;6;0;2;2;0;0;0;
;70 - 74 anos;H;2021;1738;1645;93;25;2;0;4;0;1;6;0;3;0;1;1;0;1;0;1;0;56;0;27;8;4;14;2;9;0;2;0;5;1;3;0;1;0;0;0;0;
;;M;2021;2077;1959;118;23;3;1;1;1;2;5;0;2;0;0;1;0;0;0;0;1;75;0;37;11;3;21;1;16;0;3;0;12;1;4;0;0;4;0;0;0;
;75 - 79 anos;H;2021;1405;1352;53;11;1;0;1;0;1;3;0;3;0;1;0;0;0;0;0;0;29;0;12;7;1;6;1;6;0;1;0;4;0;7;0;1;5;0;0;0;
;;M;2021;1634;1566;68;13;0;0;0;0;3;5;0;0;0;1;0;0;0;0;0;1;44;0;19;8;1;10;3;10;0;0;1;6;2;1;0;0;1;0;0;0;
;80 - 84 anos;H;2021;967;928;39;8;0;0;0;0;1;2;0;1;0;0;0;0;0;0;1;1;28;1;10;6;2;6;3;2;0;1;0;1;0;1;0;0;1;0;0;0;
;;M;2021;1254;1211;43;9;1;0;0;0;4;2;0;1;0;0;0;0;0;0;0;0;28;0;13;4;0;7;4;2;0;0;0;2;0;3;0;0;1;0;0;1;
;85 e mais anos;H;2021;698;672;26;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;18;0;4;3;1;10;0;2;0;1;0;1;0;3;0;0;2;0;0;0;
;;M;2021;1433;1390;43;6;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;36;0;12;5;0;18;0;1;0;0;0;1;0;0;0;0;0;0;0;0;
110902: Carvoeira;Total;H;2021;1417;1224;193;61;2;1;2;0;7;18;1;1;0;5;0;2;2;1;5;6;57;3;22;3;2;23;2;73;0;3;0;68;2;2;0;0;1;0;0;0;
;;M;2021;1431;1167;264;79;14;4;1;0;5;14;0;1;2;1;1;3;2;3;3;10;71;7;33;1;4;20;2;109;1;5;1;98;2;4;0;0;0;0;0;1;
;0 - 4 anos;H;2021;67;62;5;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;
;;M;2021;58;56;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;
;5 - 9 anos;H;2021;76;71;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;
;;M;2021;84;69;15;5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;7;0;0;0;7;0;2;0;0;0;0;0;0;
;10 - 14 anos;H;2021;104;99;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;
;;M;2021;84;72;12;6;1;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;2;0;4;0;0;0;4;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;70;64;6;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;3;1;0;0;0;0;0;0;0;
;;M;2021;78;71;7;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;4;0;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;72;69;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;
;;M;2021;60;49;11;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;1;6;0;0;0;6;0;0;0;0;0;0;0;0;
;25 - 29 anos;H;2021;50;33;17;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;1;0;14;0;0;0;14;0;0;0;0;0;0;0;0;
;;M;2021;63;44;19;8;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;2;1;0;0;0;0;1;9;0;0;0;9;0;0;0;0;0;0;0;0;
;30 - 34 anos;H;2021;69;54;15;6;1;0;0;0;0;1;0;0;0;2;0;1;0;0;1;0;1;0;0;0;0;0;1;8;0;0;0;8;0;0;0;0;0;0;0;0;
;;M;2021;54;45;9;4;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;1;3;1;0;0;0;0;0;0;0;
;35 - 39 anos;H;2021;86;76;10;5;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;
;;M;2021;107;75;32;8;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;7;4;0;0;1;0;0;16;0;1;0;13;1;1;0;0;0;0;0;0;
;40 - 44 anos;H;2021;135;112;23;8;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;2;2;0;1;0;0;1;0;12;0;1;0;11;0;1;0;0;0;0;0;0;
;;M;2021;155;119;36;9;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;3;6;0;0;0;0;5;0;21;1;2;0;18;0;0;0;0;0;0;0;0;
;45 - 49 anos;H;2021;158;118;40;16;1;1;1;0;1;5;1;0;0;0;0;0;1;0;0;3;14;2;4;0;0;8;0;10;0;0;0;10;0;0;0;0;0;0;0;0;
;;M;2021;138;99;39;11;2;0;0;0;0;4;0;1;1;0;1;0;0;0;0;1;17;0;11;0;0;6;0;9;0;0;0;8;0;1;0;0;0;0;0;1;
;50 - 54 anos;H;2021;120;98;22;5;0;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;11;1;5;0;0;5;0;6;0;2;0;4;0;0;0;0;0;0;0;0;
;;M;2021;117;89;28;8;1;1;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9;1;5;0;1;2;0;11;0;0;0;11;0;0;0;0;0;0;0;0;
;55 - 59 anos;H;2021;91;76;15;5;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;7;0;2;0;0;4;1;3;0;0;0;2;1;0;0;0;0;0;0;0;
;;M;2021;94;71;23;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;8;1;5;1;0;1;0;12;0;1;0;11;0;0;0;0;0;0;0;0;
