
Quadro extraído em 22 de Fevereiro de 2025 (12:03:56)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Naturalidade (País) -  Decenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Naturalidade (País);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total;Portuguesa;Estrangeira;Europa;Alemanha;Áustria;Bélgica;Bulgária;Espanha;França;Irlanda;Itália;Luxemburgo;Países Baixos;Polónia;Roménia;Suécia;Federação da Rússia;Suíça;Ucrânia;África;África do Sul;Angola;Cabo Verde;Guiné-Bissau;Moçambique;São Tomé e Príncipe;América;Canadá;Estados Unidos da América;Argentina;Brasil;Venezuela;Ásia;Bangladeche;China;Índia;Nepal;Paquistão;Oceânia;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
1106: Lisboa;Total;H;2021;254179;210129;44050;9611;830;49;316;83;1106;2347;83;1018;67;243;79;445;98;196;301;645;12932;260;5478;1903;922;2788;640;12057;147;610;164;10239;414;9351;3628;1178;1225;2054;392;99;
;;M;2021;291617;243869;47748;10782;827;71;313;113;1341;2430;64;955;82;203;260;542;91;385;327;969;16360;297;7253;2640;863;3539;1027;15265;177;553;160;13254;493;5261;565;1309;712;1435;136;80;
;0 - 4 anos;H;2021;11981;11406;575;247;19;0;15;0;33;46;2;11;4;8;3;4;3;2;9;3;57;6;27;4;4;6;5;189;6;23;3;139;5;80;26;11;4;10;4;2;
;;M;2021;11321;10713;608;233;19;1;16;0;28;47;5;12;2;3;1;1;1;2;11;5;74;3;38;8;9;6;0;220;2;18;5;179;2;80;20;10;11;8;5;1;
;5 - 9 anos;H;2021;11986;10705;1281;364;24;1;16;2;58;88;3;15;1;13;2;8;0;5;19;7;207;8;113;17;17;15;20;523;8;45;6;433;12;183;37;31;15;55;11;4;
;;M;2021;11296;10182;1114;327;27;4;19;0;29;79;2;10;7;7;3;4;2;6;22;16;207;14;108;20;18;9;22;437;5;29;1;386;5;139;19;36;8;37;10;4;
;10 - 14 anos;H;2021;12751;11479;1272;356;16;0;19;1;66;102;3;17;3;6;3;8;1;12;11;16;290;3;158;28;33;7;34;448;4;38;3;375;16;174;33;36;20;46;6;4;
;;M;2021;11885;10723;1162;317;21;1;19;1;50;76;5;16;4;6;3;9;1;10;5;20;295;10;137;39;31;16;37;383;1;26;1;332;11;167;22;42;12;46;8;0;
;15 - 19 anos;H;2021;12832;11484;1348;251;17;2;14;3;33;64;2;13;0;6;0;17;1;8;7;13;420;5;200;60;63;15;43;462;2;35;3;400;10;214;26;45;13;64;8;1;
;;M;2021;12552;11212;1340;287;25;1;8;4;32;68;2;10;5;11;1;16;3;4;14;19;433;9;163;91;55;31;55;454;3;25;1;395;11;160;20;44;11;47;4;6;
;20 - 24 anos;H;2021;14962;12215;2747;508;48;5;23;5;45;90;1;47;5;21;3;23;4;10;20;52;656;10;266;127;85;47;43;877;4;28;2;782;33;705;272;80;101;175;20;1;
;;M;2021;14723;12002;2721;614;62;4;14;6;53;111;2;63;15;32;7;27;3;15;19;75;668;17;283;146;53;67;58;988;7;36;4;879;41;449;94;99;23;140;7;2;
;25 - 29 anos;H;2021;18603;13473;5130;1088;93;5;34;4;128;208;5;165;18;34;9;32;11;21;68;77;582;21;165;143;87;29;48;1755;10;58;15;1547;61;1698;757;114;212;464;65;7;
;;M;2021;18693;13832;4861;1401;86;14;45;10;161;243;5;205;18;31;53;43;9;47;73;113;641;18;229;160;58;35;72;1991;17;58;21;1742;76;820;147;141;59;349;17;8;
;30 - 34 anos;H;2021;19303;13406;5897;1189;82;7;29;9;107;258;8;206;11;25;13;51;13;41;56;66;604;38;178;140;83;23;46;2099;27;61;33;1823;66;1988;962;131;192;509;95;17;
;;M;2021;18844;13468;5376;1435;90;9;37;14;157;254;12;191;7;28;69;94;9;70;54;84;693;36;234;168;70;44;77;2304;18;70;33;1993;67;930;130;157;74;401;28;14;
;35 - 39 anos;H;2021;18714;13725;4989;1063;97;7;37;9;121;256;10;145;7;29;13;49;7;23;27;47;569;50;168;88;73;50;56;1744;18;48;27;1523;69;1592;788;140;135;360;58;21;
