
Quadro extraído em 26 de Fevereiro de 2025 (23:50:58)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Nível de escolaridade mais elevado completo -  Decenal;;;;;;;;;;;;;;
;;;;Nível de escolaridade mais elevado completo;;;;;;;;;;;;;;
;;;;Total;Nenhum;Ensino básico;1.º ciclo;2.º ciclo;3.º ciclo;Ensino secundário;Ensino pós-secundário;Ensino superior;Curso técnico superior profissional;Bacharelato;Licenciatura;Mestrado;Doutoramento;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;45 - 49 anos;H;2021;864;17;287;34;80;173;297;26;237;0;21;176;32;8;
;;M;2021;1008;34;251;50;61;140;334;18;371;0;31;293;41;6;
;50 - 54 anos;H;2021;713;18;282;41;91;150;234;13;166;0;19;117;24;6;
;;M;2021;800;31;304;59;87;158;260;9;196;0;17;148;27;4;
;55 - 59 anos;H;2021;658;20;318;71;96;151;205;2;113;0;24;74;11;4;
;;M;2021;887;27;376;95;109;172;262;4;218;0;33;152;23;10;
;60 - 64 anos;H;2021;611;21;315;115;67;133;170;0;105;0;23;63;16;3;
;;M;2021;831;45;395;148;93;154;223;0;168;0;19;133;12;4;
;65 - 69 anos;H;2021;571;25;343;177;60;106;113;0;90;0;10;64;13;3;
;;M;2021;820;34;539;301;69;169;146;0;101;0;21;69;9;2;
;70 - 74 anos;H;2021;624;12;464;242;58;164;76;0;72;0;14;48;6;4;
;;M;2021;939;45;722;439;76;207;90;0;82;0;19;57;5;1;
;75 ou mais anos;H;2021;1422;59;1106;674;120;312;141;0;116;0;21;83;4;8;
;;M;2021;2300;267;1788;1328;154;306;125;0;120;0;50;66;2;2;
1105: Cascais;Total;H;2021;99766;12178;36721;11918;8610;16193;24120;1477;25270;238;2559;15991;5411;1071;
;;M;2021;114358;13838;39867;16007;8227;15633;25395;1104;34154;90;3517;22763;6771;1013;
;Menos de 15 anos;H;2021;16007;9478;6529;2663;3337;529;0;0;0;0;0;0;0;0;
;;M;2021;15030;8796;6234;2436;3278;520;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;6239;45;3991;19;384;3588;2183;12;8;8;0;0;0;0;
;;M;2021;5844;31;3500;11;309;3180;2305;5;3;3;0;0;0;0;
;20 - 24 anos;H;2021;5868;64;850;17;112;721;3326;131;1497;71;0;1176;249;1;
;;M;2021;5564;51;499;17;56;426;2904;103;2007;26;0;1625;355;1;
;25 - 29 anos;H;2021;5280;94;929;53;164;712;1991;202;2064;49;0;1217;787;11;
